x, y, theta, stamp, 
1.2109427452087402, 0.39903944730758667, 0.8149499294949468, 1729868025811834893, 
1.2213153839111328, 0.40997323393821716, 0.8304277926998528, 1729868025921560503, 
1.2258554697036743, 0.41497355699539185, 0.838036529219757, 1729868025971592852, 
1.2389178276062012, 0.42964082956314087, 0.8623945700061272, 1729868026111407236, 
1.2476749420166016, 0.439944326877594, 0.8738515930753858, 1729868026212535325, 
1.2569769620895386, 0.4511639177799225, 0.8851149443967825, 1729868026321208818, 
1.2652465105056763, 0.4613315463066101, 0.8991063449751695, 1729868026419150231, 
1.2729125022888184, 0.47081974148750305, 0.9137877152285733, 1729868026511354826, 
1.2815271615982056, 0.4820168614387512, 0.9288049845513503, 1729868026621264284, 
1.2891371250152588, 0.4922913908958435, 0.9424937575789089, 1729868026721251962, 
1.2926636934280396, 0.49714425206184387, 0.9489829869792372, 1729868026768473756, 
1.3030407428741455, 0.5117425918579102, 0.9675665906768613, 1729868026912103842, 
1.3100218772888184, 0.5218185782432556, 0.9817178322231437, 1729868027009595840, 
1.3177748918533325, 0.5335063338279724, 0.9925307431935766, 1729868027121453832, 
1.3239963054656982, 0.5430725812911987, 0.9986683486889076, 1729868027220147214, 
1.3298612833023071, 0.5523243546485901, 1.0035005610750234, 1729868027312172738, 
1.3362083435058594, 0.5624614953994751, 1.013800489583608, 1729868027410325845, 
1.3427786827087402, 0.5730828046798706, 1.0271255388491565, 1729868027522549758, 
1.3488520383834839, 0.5830293297767639, 1.0375024241558628, 1729868027622142567, 
1.3543986082077026, 0.5922073125839233, 1.0481037493032286, 1729868027711286501, 
1.3601065874099731, 0.6021345853805542, 1.058293829632797, 1729868027811326159, 
1.3660497665405273, 0.6128295063972473, 1.0736603962688835, 1729868027921228378, 
1.371546983718872, 0.6226553916931152, 1.0881369800858338, 1729868028022134481, 
1.3762264251708984, 0.6315935254096985, 1.0972136238857948, 1729868028112709371, 
1.3815799951553345, 0.6423618197441101, 1.1033157817707722, 1729868028221314523, 
1.386445164680481, 0.6520551443099976, 1.1100516205186843, 1729868028321236013, 
1.3915585279464722, 0.6621934771537781, 1.1168752203805672, 1729868028422141104, 
